,urls
260,https://www.pagina12.com.ar/diario/elmundo/4-159916-2011-01-06.html
261,https://www.pagina12.com.ar/diario/elmundo/4-159917-2011-01-06.html
262,https://www.pagina12.com.ar/diario/elmundo/4-159918-2011-01-06.html
263,https://www.pagina12.com.ar/diario/deportes/8-159909-2011-01-06.html
264,https://www.pagina12.com.ar/diario/deportes/8-159911-2011-01-06.html
265,https://www.pagina12.com.ar/diario/deportes/8-159912-2011-01-06.html
266,https://www.pagina12.com.ar/diario/deportes/8-159913-2011-01-06.html
267,https://www.pagina12.com.ar/diario/deportes/8-159915-2011-01-06.html
268,https://www.pagina12.com.ar/diario/psicologia/9-159921-2011-01-06.html
269,https://www.pagina12.com.ar/diario/psicologia/9-159953-2011-01-06.html
270,https://www.pagina12.com.ar/diario/verano12/23-159919-2011-01-06.html
271,https://www.pagina12.com.ar/diario/contratapa/13-159920-2011-01-06.html
272,https://www.pagina12.com.ar/diario/elpais/1-160039-2011-01-07.html
273,https://www.pagina12.com.ar/diario/elpais/1-160040-2011-01-07.html
274,https://www.pagina12.com.ar/diario/elpais/1-160041-2011-01-07.html
275,https://www.pagina12.com.ar/diario/elpais/1-160018-2011-01-07.html
276,https://www.pagina12.com.ar/diario/elpais/1-160014-2011-01-07.html
277,https://www.pagina12.com.ar/diario/elpais/1-160019-2011-01-07.html
278,https://www.pagina12.com.ar/diario/elpais/1-159986-2011-01-07.html
279,https://www.pagina12.com.ar/diario/elpais/1-160015-2011-01-07.html
280,https://www.pagina12.com.ar/diario/elpais/1-160012-2011-01-07.html
281,https://www.pagina12.com.ar/diario/elpais/1-160013-2011-01-07.html
282,https://www.pagina12.com.ar/diario/elpais/1-160016-2011-01-07.html
283,https://www.pagina12.com.ar/diario/elpais/1-160008-2011-01-07.html
284,https://www.pagina12.com.ar/diario/elpais/1-160010-2011-01-07.html
285,https://www.pagina12.com.ar/diario/elpais/1-160009-2011-01-07.html
286,https://www.pagina12.com.ar/diario/elpais/1-160011-2011-01-07.html
287,https://www.pagina12.com.ar/diario/elpais/1-160017-2011-01-07.html
288,https://www.pagina12.com.ar/diario/elpais/1-160020-2011-01-07.html
289,https://www.pagina12.com.ar/diario/elpais/1-160021-2011-01-07.html
290,https://www.pagina12.com.ar/diario/economia/2-160002-2011-01-07.html
291,https://www.pagina12.com.ar/diario/economia/2-160004-2011-01-07.html
292,https://www.pagina12.com.ar/diario/economia/2-160005-2011-01-07.html
293,https://www.pagina12.com.ar/diario/economia/2-160007-2011-01-07.html
294,https://www.pagina12.com.ar/diario/economia/2-159997-2011-01-07.html
295,https://www.pagina12.com.ar/diario/economia/2-159993-2011-01-07.html
296,https://www.pagina12.com.ar/diario/economia/2-159996-2011-01-07.html
297,https://www.pagina12.com.ar/diario/economia/2-160003-2011-01-07.html
298,https://www.pagina12.com.ar/diario/economia/2-159994-2011-01-07.html
299,https://www.pagina12.com.ar/diario/economia/2-159998-2011-01-07.html
300,https://www.pagina12.com.ar/diario/economia/2-159999-2011-01-07.html
301,https://www.pagina12.com.ar/diario/economia/2-160001-2011-01-07.html
302,https://www.pagina12.com.ar/diario/economia/2-160006-2011-01-07.html
